mention_id,entity_name,entity_type,chunk_id,section_id,context_snippet
M00164,Jesus,Person,1975-11-05_SECTION_013_01,,"ralunar world (above). This agrees with Jesus' ""...On earth as it is in heaven,"" heav"
M00165,Christ,Person,1975-11-05_SECTION_013_01,,"Gene Savoy, International Community of Christ, 100 North Arlington Avenue, Reno, Neva"
M00166,God,Person,1975-11-05_SECTION_013_01,,"r example, Spinoza in his doctrine that God possesses the attribute of physical ext"
M00167,Holy Spirit,Person,1975-11-05_SECTION_013_01,,"of the Pantocrator exists, and that the Holy Spirit coming on the original followers of Chr"
M00168,Plato,Person,1975-11-05_SECTION_013_01,,"ity as it was, rather than pictures (in Plato's sense). I actually thought I had been"
M00169,Aristotle,Person,1975-11-05_SECTION_013_01,,"in theology, esp. Hellenistic theology. Aristotle's distinction between the sublunar worl"
M00170,Spinoza,Person,1975-11-05_SECTION_013_01,,"philosophers believed in (for example, Spinoza in his doctrine that God possesses the"
M00171,Goethe,Person,1975-11-05_SECTION_013_01,,"e, especially the landscape, which both Goethe and Wagner describe as the ""Good Friday"
M00172,Wagner,Person,1975-11-05_SECTION_013_01,,"ly the landscape, which both Goethe and Wagner describe as the ""Good Friday Spell,"" in"
M00173,Firebright,Person,1975-11-05_SECTION_013_01,,"eature of light (I called it within me ""firebright,"" supposing it to be of fire and of lig"
M00174,Sophia,Person,1975-11-05_SECTION_013_01,,"to me, which I had identified as Haggia Sophia, had as its utmost revelation told me,"
M00175,Logos,Person,1975-11-05_SECTION_013_01,,"was astounded to learn that she is the logos, the firstborn of all that was created."
M00176,TEARS,Work,1975-11-05_SECTION_013_01,,"Lord had ""broken through,"" as shown in TEARS, with His host. Had my capture not coin"
M00177,DEUS IRAE,Work,1975-11-05_SECTION_013_01,,"us statement. Well, I done placed it in DEUS IRAE whithout fully comprehending it, which"
M00178,Deus Irae,Work,1975-11-05_SECTION_013_01,,"us statement. Well, I done placed it in DEUS IRAE whithout fully comprehending it, which"
M00179,Revelation,Work,1975-11-05_SECTION_013_01,,"ied as Haggia Sophia, had as its utmost revelation told me, ""Santa Sophia will be born aga"
